STT,Style,Category,Prompt Keywords,Lighting,Composition,Quality Modifiers,Negative Prompt,Best For,Platform Tips
1,Photorealistic,Photography,"photorealistic, hyperrealistic, ultra detailed, 8k uhd, realistic skin texture, natural proportions","golden hour, natural lighting, soft shadows, studio lighting, rim light","rule of thirds, shallow depth of field, centered subject, eye-level angle","8k, highly detailed, professional photography, sharp focus, RAW photo","cartoon, illustration, painting, anime, distorted, blurry, low quality","Product shots, portraits, architectural, stock photos","MJ: --style raw --v 6.1; SD: CFG 7-9; DALL-E: describe naturally"
2,Cinematic,Photography,"cinematic shot, movie still, film grain, anamorphic lens, dramatic composition, blockbuster aesthetic","Rembrandt lighting, volumetric light rays, atmospheric haze, neon glow, backlit","widescreen 2.39:1, dutch angle, low angle hero shot, silhouette, framing with foreground","35mm film, IMAX quality, Hollywood production, professional cinematography","flat lighting, amateur, snapshot, overexposed, underexposed","Movie posters, hero sections, dramatic storytelling, trailers","MJ: --ar 21:9 --style raw; Flux: cinematic + film grain keywords"
3,Editorial Fashion,Photography,"high fashion editorial, vogue cover, luxury magazine, runway model, haute couture","butterfly lighting, fashion studio, ring light, dramatic shadows, clean white background","full body pose, three-quarter view, dynamic pose, negative space, minimalist background","high-end fashion photography, professional retouching, crisp details","casual wear, amateur, candid, street style, wrinkles, messy","Fashion campaigns, luxury brands, magazine covers, lookbooks","MJ: --stylize 250; DALL-E: mention specific designers/magazines"
4,Product Showcase,Photography,"product photography, commercial shot, packshot, clean background, floating product","soft box lighting, even illumination, subtle reflections, gradient background","centered, floating, 45-degree angle, hero shot, detail macro","advertising quality, pristine, professional retouching, sharp edges","dirty, scratched, damaged, fingerprints, dust, uneven lighting","E-commerce, ads, packaging, marketing materials","MJ: --style raw; SD: product_photography LoRA"
5,Portrait Artistic,Portrait,"artistic portrait, fine art photography, emotional expression, soulful eyes, painterly quality","Rembrandt, split lighting, chiaroscuro, natural window light, golden hour","tight crop, eye contact, off-center, rule of thirds, negative space","masterpiece portrait, award-winning, museum quality, emotional depth","snapshot, ID photo, passport, unflattering angle, harsh flash","Personal branding, artist profiles, book covers, bio photos","MJ: --stylize 500+; Flux: mention specific portrait photographers"
6,Minimalist,Style,"minimalist design, clean composition, white space, simple geometry, single subject, negative space","flat even lighting, soft shadows, no harsh contrasts","centered subject, lots of white space, geometric shapes, clean lines","pristine, clean, uncluttered, zen-like, simple elegance","busy, cluttered, complex, ornate, maximalist, chaotic","Brand identity, app icons, modern marketing, clean UI mockups","DALL-E: emphasize simplicity; MJ: --stylize 0-100"
7,Cyberpunk,Sci-Fi,"cyberpunk aesthetic, neon lights, rain-soaked streets, holographic displays, dystopian city, tech noir","neon glow, volumetric fog, rain reflections, pink/cyan/purple neon, city lights","low angle, reflections in puddles, silhouette, busy background, layered depth","blade runner style, high detail, atmospheric, moody, cinematic","bright daylight, clean, futuristic utopia, sunny, cheerful","Gaming, sci-fi projects, tech products, album covers, posters","MJ: --chaos 20; SD: cyberpunk_2077 LoRA + neon + rain"
8,Fantasy Epic,Fantasy,"epic fantasy scene, magical landscape, mystical creatures, enchanted forest, castle in clouds","ethereal glow, magical particles, volumetric god rays, bioluminescence, aurora","wide establishing shot, dramatic perspective, sense of scale, layered depth","highly detailed, concept art, digital painting, award-winning, 8k","modern, urban, technology, cars, phones, realistic mundane","Book covers, game assets, worldbuilding, D&D campaigns","MJ: --stylize 750; Flux: add artist references like Greg Rutkowski"
9,Anime,Illustration,"anime style, manga illustration, Japanese animation, cel shaded, large expressive eyes","anime lighting, dramatic shadows, bloom effects, lens flare, sakura petals","dynamic pose, speed lines, impact frame, close-up reaction shot","Studio Ghibli quality, Makoto Shinkai style, beautiful anime, masterpiece","western cartoon, 3D render, realistic, photographic","Character design, fan art, web novels, visual novels, merch","MJ: --niji 6; SD: anime LoRA + danbooru tags"
10,Watercolor,Art,"watercolor painting, soft washes, paper texture, wet-on-wet technique, delicate brushstrokes","soft natural light, diffused, gentle shadows, pastel tones","loose composition, bleeding edges, white paper showing, organic flow","artistic, hand-painted feel, traditional media, gallery quality","digital, sharp edges, photorealistic, crisp lines, harsh colors","Wedding invitations, children books, botanical art, cards","DALL-E: watercolor + soft + hand-painted; MJ: --stylize 750"
11,Oil Painting,Art,"oil painting, visible brushstrokes, rich colors, impasto technique, classical composition","dramatic lighting, Baroque chiaroscuro, warm palette, museum lighting","classical composition, portrait orientation, golden ratio, layered depth","masterpiece, museum quality, old master technique, rich texture","flat, digital, smooth, photographic, clean lines","Portraits, landscapes, classical themes, luxury branding","MJ: --stylize 1000; SD: oil_painting LoRA + artist name"
12,3D Render,Digital,"3D render, octane render, cinema 4D, blender, photorealistic CGI, subsurface scattering","HDRI lighting, global illumination, soft shadows, studio setup","isometric, hero angle, product shot, architectural visualization","8k, ray tracing, physically based rendering, professional CGI","2D, flat, hand-drawn, pixelated, low poly","Product visualization, tech, architecture, abstract art","SD: 3d_render LoRA; MJ: --style raw for realism"
13,Isometric,Digital,"isometric view, 3D illustration, orthographic projection, clean geometry, tiny world, diorama","soft even lighting, no harsh shadows, subtle ambient occlusion","30-degree angle, grid-aligned, miniature scene, top-down tilted","clean vector look, professional illustration, game asset quality","perspective distortion, fisheye, realistic depth, photographic","Infographics, game assets, explainer graphics, app illustrations","MJ: isometric exact angle; Flux: isometric + clean + geometric"
14,Retro Vintage,Style,"vintage aesthetic, retro 70s/80s, nostalgic, grain, faded colors, analog photography","warm color cast, sunset tones, lens flare, light leaks, vignette","polaroid crop, centered subject, domestic scene, casual composition","film grain, faded, sun-bleached, authentic vintage, analog feel","modern, crisp, digital, clean, contemporary","Throwback campaigns, nostalgia marketing, music albums, indie brands","MJ: vintage film + specific decade; SD: analog film LoRA"
15,Pop Art,Art,"pop art style, Andy Warhol, Roy Lichtenstein, Ben-Day dots, bold colors, comic style","flat even lighting, no shadows, high contrast, primary colors","centered portrait, grid layout, repeated elements, bold outline","vibrant, graphic, iconic, screen print aesthetic, 1960s art","subtle, natural colors, photorealistic, soft, muted","Bold marketing, youth brands, social media, merchandise","DALL-E: pop art + Warhol; MJ: pop art --stylize 500"
16,Vaporwave,Style,"vaporwave aesthetic, 90s internet, glitch art, marble statues, tropical sunset, retro tech","neon pink/cyan/purple, sunset gradient, glowing, soft bloom","centered composition, geometric shapes, grid floor, palm trees","synthwave, retrowave, outrun, aesthetic, lo-fi, dreamy","realistic, modern, clean, corporate, serious","Music covers, aesthetic content, nostalgic tech, social posts","MJ: vaporwave + specific elements; SD: vaporwave_aesthetic LoRA"
17,Dark Academia,Style,"dark academia aesthetic, classical literature, oxford, vintage library, candlelit, scholarly","warm candlelight, moody, low key, autumn colors, window light","books and papers, classical architecture, warm browns and greens","atmospheric, cozy, intellectual, autumn vibes, mysterious","modern, bright, minimal, colorful, tech, summer","Education, book marketing, fashion, lifestyle, writing","MJ: dark academia + specific setting; DALL-E: describe mood in detail"
18,Cottagecore,Style,"cottagecore aesthetic, pastoral, countryside, wildflowers, rustic charm, homemade, cozy","soft morning light, dappled sunlight through trees, golden hour, overcast","rule of thirds, natural framing with foliage, intimate scale, pastoral scene","dreamy, soft focus, whimsical, peaceful, handcrafted feel","urban, modern, technology, harsh, industrial, artificial","Lifestyle brands, organic products, homeware, wellness","DALL-E: cottagecore + specific activities; MJ: --stylize 500+"
19,Brutalist,Architecture,"brutalist architecture, raw concrete, geometric forms, massive scale, exposed structure","harsh shadows, dramatic contrast, overcast sky, stark","low angle looking up, symmetrical, geometric framing, urban context","architectural photography, dramatic, imposing, monumental","soft, decorative, ornate, colorful, natural","Architecture, urban projects, bold branding, editorial","MJ: --style raw; Flux: brutalist + specific building elements"
20,Surrealist,Art,"surrealism, dreamlike, impossible geometry, melting objects, floating elements, Dali inspired","dramatic spotlight, impossible shadows, ethereal glow, otherworldly","impossible perspective, juxtaposition, dream logic, layered reality","artistic, thought-provoking, museum quality, fantastical","realistic, logical, ordinary, mundane, predictable","Art projects, creative campaigns, album covers, editorial","MJ: --chaos 50 --weird 500; Flux: surrealist + Dali/Magritte"
