STT,Modifier,Category,Effect,Platform Compatibility,Example Usage,When to Use
1,8k uhd,Resolution,"Ultra high resolution, extremely detailed","MJ: yes, SD: quality tag, DALL-E: HD in text, Flux: yes","portrait of woman, 8k uhd, highly detailed","Final outputs needing maximum detail"
2,4k,Resolution,"High resolution, detailed","All platforms","landscape photography, 4k resolution","Standard high-quality outputs"
3,highly detailed,Detail,"Increases overall detail level","All platforms","highly detailed mechanical watch, intricate gears","When fine details matter (products, architecture)"
4,intricate details,Detail,"Focus on fine, complex elements","MJ: strong, SD: strong, DALL-E: moderate, Flux: yes","intricate details, ornate frame, delicate patterns","Decorative items, jewelry, architecture"
5,photorealistic,Style,"Maximum realism, like a photograph","MJ: --style raw, SD: photorealistic tag, DALL-E: natural, Flux: yes","photorealistic portrait, natural skin texture","Product shots, portraits, stock photos"
6,hyperrealistic,Style,"Beyond realistic, almost uncanny detail","MJ: strong, SD: strong, DALL-E: less effective, Flux: yes","hyperrealistic water droplet, micro details visible","Macro shots, extreme close-ups"
7,professional photography,Quality,"Studio quality, commercial grade","All platforms","professional photography, studio lighting, clean background","E-commerce, headshots, marketing materials"
8,masterpiece,Quality,"Highest artistic quality","SD: very strong, MJ: moderate, DALL-E: weak, Flux: moderate","masterpiece, best quality, award-winning","SD priority tag for quality boost"
9,best quality,Quality,"Top-tier output quality","SD: strong quality tag, others: moderate","best quality, masterpiece, detailed","SD primary quality boosting tag"
10,award-winning,Quality,"Prestigious, exceptional quality","All platforms","award-winning photography, National Geographic style","Editorial, competitions, high-end marketing"
11,trending on artstation,Quality,"Popular digital art style","SD: strong, MJ: moderate, others: weak","concept art, trending on artstation","Digital art, concept art, fantasy"
12,sharp focus,Technical,"Crisp, clear details, no blur","All platforms","sharp focus, detailed eyes, crisp edges","Products, portraits, text, technical subjects"
13,soft focus,Technical,"Dreamy, romantic blur effect","All platforms","soft focus, romantic portrait, ethereal","Beauty shots, dream sequences, nostalgia"
14,shallow depth of field,Technical,"Blurred background, subject isolation","All platforms","shallow depth of field, bokeh, 85mm lens","Portraits, product isolation, artistic"
15,motion blur,Technical,"Sense of movement and speed","All platforms","motion blur, speed lines, dynamic action","Action shots, sports, cars, movement"
16,volumetric lighting,Lighting,"Light rays visible in atmosphere","MJ: strong, SD: strong, Flux: yes, DALL-E: describe","volumetric lighting, god rays, atmospheric haze","Dramatic scenes, forests, interiors"
17,cinematic lighting,Lighting,"Movie-quality dramatic lighting","All platforms","cinematic lighting, dramatic shadows, film quality","Hero shots, posters, dramatic content"
18,studio lighting,Lighting,"Professional controlled lighting","All platforms","studio lighting, soft box, even illumination","Products, portraits, commercial"
19,golden hour,Lighting,"Warm sunset/sunrise light","All platforms","golden hour, warm tones, long shadows","Landscapes, portraits, lifestyle"
20,rim lighting,Lighting,"Edge-lit subject, dramatic separation","All platforms","rim lighting, backlit, edge glow, halo effect","Dramatic portraits, silhouettes"
21,octane render,Technical,"Photorealistic 3D rendering","SD: strong, MJ: yes, Flux: yes","octane render, ray tracing, CGI quality","3D scenes, products, architecture"
22,unreal engine,Technical,"Game engine quality rendering","SD: strong, MJ: yes, Flux: yes","unreal engine 5, real-time rendering, next-gen graphics","Game assets, cinematic scenes"
23,concept art,Style,"Professional pre-production art","All platforms","concept art, character design sheet, game art","Character design, worldbuilding, pitches"
24,matte painting,Style,"Digital painting for film backgrounds","All platforms","matte painting, epic landscape, film background","Fantasy landscapes, sci-fi backgrounds"
25,RAW photo,Technical,"Unprocessed, maximum data capture","MJ: --style raw, SD: yes, DALL-E: describe, Flux: yes","RAW photo, unprocessed, maximum detail","Photorealistic, needs post-processing look"
