Genre,Mood,BPM_Range,Instruments,Best_For,Styles_Match,Avoid_For,Licensing_Notes
Ambient Electronic,"Calm, modern, tech-forward","60-90","Synth pads, soft beats, atmospheric","SaaS, tech, modern brands, tutorials","Minimalist Clean, Gradient Smooth, Futuristic Sci-Fi, Minimalist Tech","Energetic campaigns, youth, entertainment","Royalty-free widely available"
Upbeat Pop,"Happy, energetic, positive","110-130","Synths, drums, bass, vocals or instrumental","Consumer goods, lifestyle, bright campaigns","Bright Cheerful, Maximalist Bold, Festival Vibrant","B2B, serious topics, luxury","Sync licensing required for major tracks"
Indie Acoustic,"Warm, authentic, friendly","80-110","Acoustic guitar, soft percussion, piano","Lifestyle, community, authentic brands","Conversational Casual, Earthy Organic, Emotional Storytelling","Tech, gaming, corporate","Many royalty-free options"
Orchestral Cinematic,"Epic, dramatic, emotional","Varies","Orchestra, strings, brass, percussion","Premium brands, film, sports, causes","Cinematic Documentary, Inspirational Motivational, Emotional Storytelling","Casual content, quick social","Composer licensing or library"
Lo-fi Beats,"Chill, relaxed, modern","70-90","Sampled beats, vinyl crackle, mellow keys","Gen Z, coffee brands, study content, TikTok","Raw Unpolished, Authentic UGC, Conversational Casual","Corporate, formal, high-energy","Many royalty-free, creator-friendly"
Electronic Dance,"High energy, exciting, modern","120-150","Synths, heavy bass, electronic drums","Events, gaming, youth brands, parties","Neon Cyber, Festival Vibrant, Maximalist Bold","Luxury, B2B, healthcare, serious","DJ mix considerations, sync rights"
Classical,"Elegant, timeless, sophisticated","Varies","Orchestra, piano, strings","Luxury, heritage, high-end, refined","Quiet Luxury, Metallic Luxe, Monochromatic","Youth, gaming, fast-paced","Public domain older works, sync for modern"
Jazz,"Sophisticated, cool, premium","80-120","Brass, piano, bass, drums","Premium, restaurants, nightlife, cocktails","Quiet Luxury, Retro-Futurism, Metallic Luxe","Youth, tech, fast-paced","Classic jazz may be public domain"
Synthwave,"Nostalgic, 80s, retro-futuristic","100-120","Vintage synths, drum machines, arpeggios","Retro campaigns, gaming, Gen X/Millennial nostalgia","Nostalgic 80s, Retro-Futurism, Neon Cyber","Traditional, conservative, elderly","Growing royalty-free library"
Corporate Subtle,"Professional, neutral, unobtrusive","80-100","Light synths, soft piano, minimal","B2B, corporate, professional services","Corporate Modern, Authoritative Expert, Data Visualization","Entertainment, youth, emotional","Abundant royalty-free options"
Trending Sounds,"Platform-native, viral, current","Varies","Whatever is trending","TikTok, Reels, social content","Raw Unpolished, Authentic UGC, Humor Comedic","Brand campaigns needing longevity, TV","Platform licensing, short-lived relevance"
Hip-Hop/Urban,"Street, authentic, energetic","80-110","808s, hi-hats, bass, samples","Streetwear, urban brands, sneakers","Urban Street, Bold Color Clash, Maximalist Bold","Corporate, traditional, conservative","Artist licensing complex, instrumental easier"
Nature/Ambient,"Peaceful, organic, calming","N/A or 60-80","Nature sounds, soft pads, minimal","Wellness, eco-brands, outdoor, spa","Earthy Organic, Nature Inspired, Pastel Soft","Urban, tech, high-energy","Many royalty-free nature sounds"
Anthemic Rock,"Powerful, triumphant, motivating","120-140","Electric guitars, drums, bass","Sports, achievements, launches","Inspirational Motivational, Bold Color Clash","Luxury, calm, B2B, healthcare","Major artist sync expensive"
Quirky/Playful,"Fun, unexpected, humorous","100-130","Unusual instruments, pizzicato, whistling","Humor, creative, children, playful","Humor Comedic, Claymorphism, Pop Art","Serious, B2B, luxury, formal","Good royalty-free availability"
Dark Electronic,"Edgy, intense, moody","90-130","Dark synths, industrial beats, bass","Gaming, tech, edgy brands, thriller","Cyberpunk Digital, Dark Moody Cinematic, Provocative Edgy","Family, wellness, bright brands","Royalty-free available"
World/Fusion,"Cultural, diverse, global","Varies","Cultural instruments, fusion styles","Travel, global brands, multicultural","Travel campaigns, international brands","Stereotyping risk, local vs global","Cultural sensitivity required"
